Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
863	1,6778	1,93856225165696E+017
864	1,5602	1,94534411226388E+017
865	1,4406	1,95161334454241E+017
866	1,3213	1,95737005213128E+017
867	1,2041	1,96262219458523E+017
868	1,0885	1,96737557969768E+017
869	0,9746	1,97163647660532E+017
870	0,8741	1,97546239071397E+017
871	0,7858	1,97890577126833E+017
872	0,7084	1,9820135484994E+017
873	0,6408	1,98482798587696E+017
874	0,5821	1,98738753739295E+017
875	0,5313	1,98972638923687E+017
876	0,4876	1,99187532110396E+017
877	0,4503	1,99386213131529E+017
878	0,4187	1,99571162273089E+017
879	0,3923	1,9974464731138E+017
880	0,3705	1,99908678233956E+017
881	0,3529	2,00065094678503E+017
882	0,339	2,00215520754409E+017
883	0,3284	2,00361408460341E+017
884	0,3209	2,00504125827475E+017
885	0,3161	2,00644867468206E+017
886	0,3138	2,0078474292062E+017
887	0,3137	2,0092473162098E+017
888	0,3157	2,01065771650683E+017
889	0,3196	2,0120871480937E+017
890	0,3252	2,01354326212447E+017
891	0,3324	2,0150332871487E+017
892	0,3411	2,01656402709901E+017
893	0,3512	2,01814185927873E+017
894	0,3626	2,01977273234947E+017
895	0,3753	2,02146261459374E+017
896	0,3891	2,0232165923587E+017
897	0,4041	2,02504021987509E+017
898	0,4202	2,02693861770089E+017
899	0,4374	2,02891692299642E+017
900	0,4557	2,03098028952434E+017
901	0,475	2,03313343435593E+017
902	0,4954	2,03538154345229E+017
903	0,5167	2,03772891077712E+017
904	0,5392	2,04018120828667E+017
905	0,5626	2,04274276013068E+017
906	0,5872	2,04541927147007E+017
907	0,6128	2,04821555295285E+017
908	0,6394	2,05113643032006E+017
909	0,6672	2,05418765904268E+017
910	0,6961	2,05737455488173E+017
911	0,7261	2,06070245020058E+017
912	0,7573	2,06417715279266E+017
913	0,7897	2,06780448856301E+017
914	0,8233	2,07159030152832E+017
915	0,8582	2,07554091415393E+017
916	0,8943	2,07966220768597E+017
917	0,9318	2,08396100416869E+017
918	0,9705	2,08844322308386E+017
919	1,0107	2,09311618907326E+017
920	1,0522	2,09798632371304E+017
921	1,0952	2,10306099491164E+017
922	1,1396	2,10834712935823E+017
923	1,1856	2,11385260359596E+017
924	1,2331	2,11958485345182E+017
925	1,2822	2,12555180276041E+017
926	1,3328	2,13176093363398E+017
927	1,3852	2,13822114994712E+017
928	1,4392	2,1449404489871E+017
929	1,495	2,15192778695098E+017
930	1,5525	2,15919167931964E+017
931	1,6118	2,16674113561882E+017
932	1,673	2,1745856614314E+017
933	1,736	2,18273432162417E+017
934	1,801	2,19119714802326E+017
935	1,8679	2,1999837322418E+017
936	1,9369	2,20910463637397E+017
937	2,0078	2,21856951139875E+017
938	2,0809	2,22838945269697E+017
939	2,156	2,23857464403116E+017
940	2,2633	2,24927811955079E+017
941	2,3623	2,26046166524289E+017
942	2,4539	2,27209120710941E+017
943	2,537	2,28412734080136E+017
944	2,6104	2,29652483455536E+017
945	2,6733	2,30923450676519E+017
946	2,7246	2,32220178208297E+017
947	2,7638	2,33536952790045E+017
948	2,7902	2,34867709040818E+017
949	2,8035	2,36206219027868E+017
950	2,8035	2,37546139457476E+017
951	2,7902	2,38881106962208E+017
952	2,7638	2,40204833891272E+017
953	2,7246	2,41511156658486E+017
954	2,6733	2,42794228329192E+017
955	2,6104	2,44048423936722E+017
956	2,537	2,45268630067103E+017
957	2,4539	2,46450102632524E+017
958	2,3623	2,47588661269403E+017
959	2,2633	2,48680643505927E+017
960	2,1244	2,49706678962445E+017
961	1,9607	2,50654637581414E+017
962	1,8071	2,51529242873831E+017
963	1,6633	2,52335088248877E+017
964	1,5289	2,53076587911297E+017
965	1,4034	2,53757927507227E+017
966	1,2865	2,54383160317033E+017
967	1,1778	2,54956158001764E+017
968	1,0768	2,55480561098047E+017
969	0,9831	2,55959826762336E+017
970	0,8964	2,56397276766713E+017
971	0,8162	2,56795999193026E+017
972	0,7422	2,57158945229449E+017
973	0,6741	2,57488928566757E+017
974	0,6113	2,57788477788611E+017
975	0,5537	2,58060080425663E+017
976	0,5009	2,58306035446456E+017
977	0,4525	2,58528452452464E+017
978	0,4082	2,5872930007637E+017
979	0,3678	2,58910454631896E+017
980	0,3309	2,59073601103601E+017
981	0,2974	2,59220380404432E+017
982	0,2669	2,59352240961042E+017
983	0,2392	2,59470536818411E+017
984	0,2141	2,59576527237363E+017
985	0,1914	2,59671376292088E+017
986	0,1709	2,59756152467658E+017
987	0,1524	2,59831828257551E+017
988	0,1357	2,59899279761168E+017
989	0,1207	2,59959336038002E+017
990	0,1072	2,60012729099439E+017
991	0,0951	2,60060143363549E+017
992	0,0842	2,60102165546261E+017
993	0,0745	2,60139384174668E+017
994	0,0659	2,60172339578824E+017
995	0,0581	2,60201423573483E+017
996	0,0512	2,60227079289662E+017
997	0,0451	2,60249701057618E+017
998	0,0397	2,60269634205609E+017
999	0,0348	2,60287124598903E+017
1000	0,0305	2,60302469167479E+017
1001	0,0267	2,60315915386527E+017
1002	0,0234	2,60327711485887E+017
1003	0,0204	2,60338005528069E+017
1004	0,0178	2,60346996539674E+017
1005	0,0155	2,60354833589411E+017
1006	0,0135	2,60361666198783E+017
1007	0,0118	2,6036764434208E+017
1008	0,0102	2,60372817021302E+017
1009	0,0089	2,60377334915081E+017
1010	0,0077	2,60381247528518E+017
1011	0,0066	2,60384604517642E+017
1012	0,0057	2,60387506603195E+017
1013	0,0049	2,60390003843688E+017
