Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
801	1,08	1,70278414677395E+017
802	1,08	1,70714180300933E+017
803	1,06	1,71142409477347E+017
804	1,08	1,71579261798201E+017
805	1,05	1,72004507588003E+017
806	1,09	1,72446501597081E+017
807	1,08	1,72884983963908E+017
808	1,08	1,73324009679393E+017
809	1,05	1,73751368491753E+017
810	1,05	1,74179255559753E+017
811	1,05	1,74607670883393E+017
812	1,02	1,75024358931835E+017
813	1,01	1,75437469934948E+017
814	0,901	1,75806450965036E+017
815	0,893	1,76172605072802E+017
816	0,83	1,76513345053302E+017
817	0,849	1,76862312238062E+017
818	0,82	1,7719977200259E+017
819	0,903	1,7757184357972E+017
820	0,859	1,77926217586726E+017
821	0,995	1,78337197958758E+017
822	0,949	1,78729655675668E+017
823	0,671	1,79007484434307E+017
824	0,932	1,79393849602841E+017
825	0,967	1,79795210691229E+017
826	0,931	1,80182098078194E+017
827	0,982	1,80590673126215E+017
828	0,847	1,80943505632954E+017
829	0,927	1,81330129898302E+017
830	0,913	1,81711374508836E+017
831	0,921	1,82096423063076E+017
832	0,892	1,82469796161482E+017
833	0,954	1,82869601159686E+017
834	0,931	1,83260235639988E+017
835	1	1,83680324648547E+017
836	0,97	1,84088298994441E+017
837	1,01	1,84513605156317E+017
838	0,996	1,84933517073462E+017
839	0,998	1,85354774281636E+017
840	1,01	1,85781604838357E+017
841	1,01	1,86208943526694E+017
842	0,994	1,8663001257524E+017
843	1	1,87054126388672E+017
844	0,983	1,87471524815174E+017
845	1,01	1,87900896029971E+017
846	1,02	1,88335031607536E+017
847	0,989	1,8875647043503E+017
848	0,989	1,89178406829026E+017
849	0,983	1,89598277995022E+017
850	0,891	1,89979301241289E+017
851	0,972	1,90395451978281E+017
852	0,967	1,9080994852047E+017
853	0,962	1,91222785836851E+017
854	0,849	1,91587556921043E+017
855	0,91	1,91978994349917E+017
856	0,97	1,92396728847626E+017
857	0,989	1,92823143340144E+017
858	0,989	1,93250055399164E+017
859	0,989	1,93677465024686E+017
860	0,985	1,94103641550615E+017
861	0,984	1,9452988046102E+017
862	0,992	1,94960083804224E+017
863	0,998	1,95393391278186E+017
864	0,976	1,95817637910179E+017
865	0,96	1,96235412655937E+017
866	0,847	1,96604437958879E+017
867	0,913	1,97002677811088E+017
868	0,956	1,97420154721286E+017
869	0,947	1,97834177845802E+017
870	0,965	1,98256555962133E+017
871	0,951	1,98673284761725E+017
872	0,964	1,990961951585E+017
873	0,954	1,99515198475946E+017
874	0,938	1,99927646392455E+017
875	0,924	2,00334403234875E+017
876	0,95	2,00753083561729E+017
877	0,953	2,01173565491865E+017
878	0,95	2,01593201709876E+017
879	0,934	2,02006240266501E+017
880	0,937	2,02421076904702E+017
881	0,906	2,0282264476744E+017
882	0,93	2,03235318073022E+017
883	0,927	2,03647126548658E+017
884	0,93	2,04060735621373E+017
885	0,942	2,04480155506123E+017
886	0,905	2,0488355666748E+017
887	0,908	2,05288751885609E+017
888	0,92	2,05699764959182E+017
889	0,932	2,06116607962612E+017
890	0,921	2,06528994500847E+017
891	0,923	2,06942740920029E+017
892	0,906	2,07349322683436E+017
893	0,871	2,0774063584646E+017
894	0,849	2,08122492227335E+017
895	0,811	2,08487665288914E+017
896	0,76	2,08830256679655E+017
897	0,664	2,09129907427212E+017
898	0,716	2,09453385019614E+017
899	0,547	2,09700786253418E+017
900	0,74	2,10035851259048E+017
901	0,598	2,10306920861005E+017
902	0,666	2,10609149496083E+017
903	0,687	2,10921253493016E+017
904	0,842	2,11304197577408E+017
905	0,815	2,11675272009131E+017
906	0,773	2,12027612483474E+017
907	0,637	2,1231828338826E+017
908	0,65	2,12615213367724E+017
909	0,702	2,12936250922172E+017
910	0,623	2,13221473750463E+017
911	0,666	2,13526717970591E+017
912	0,687	2,1384193263859E+017
913	0,627	2,14129933085343E+017
914	0,625	2,14417329308265E+017
915	0,676	2,14728517158989E+017
916	0,575	2,14993500249778E+017
917	0,728	2,15329358141967E+017
918	0,591	2,15602309340202E+017
919	0,737	2,15943060892016E+017
920	0,742	2,1628649749178E+017
921	0,778	2,1664698819599E+017
922	0,698	2,1697076161155E+017
923	0,743	2,17315782475133E+017
924	0,719	2,17650020383361E+017
925	0,709	2,17979966340294E+017
926	0,701	2,18306542026246E+017
927	0,785	2,18672645823951E+017
928	0,588	2,1894716971469E+017
929	0,55	2,19204228970886E+017
930	0,431	2,19405886788013E+017
931	0,408	2,19596988548161E+017
